1141;Альтернативная История (Статьи, Материалы, Гипотезы, Факты);1138
1142;Тайны и Загадки Истории (Статьи, Материалы, Гипотезы, Факты);1138
1143;История Руси, России (Статьи, Материалы, Гипотезы, Факты);1138
1144;История СССР (Статьи, Материалы, Гипотезы, Факты);1138
1145;Поиск и предложения;2
1150;Календари;977
1154;«Вселенная Метро 2033» (Аудиосериалы);1112
1161;Театр, Кино и ТВ;4
1162;Наши любимые фильмы и сериалы;1161
1163;Наши любимые актеры и режиссеры;1161
1164;Рецензии, мнения, комментарии;1161
1169;Учебники по программам от Adobe (Текстовый формат);895
1171;Новости, объявления, полезная информация;24
1172;Общая информация;18
1173;Общая информация;26
1174;Общая информация;20
1175;Общая информация;53
1177;Общая информация;40
1186;Проект «База журналов»;46
1189;РГ «Периодика»;46
1191;Общая информация о группе «Создатели электронных книг»;762
1193;Общение рабочей группы «Создатели электронных книг»;762
1198;Востоковедение и Африканистика;40
1199;Средний Восток (Иран, Афганистан, Пакистан);1198
1200;Южная Азия и Юго-Восточная Азия (Индия, Шри-Ланка, Бангладеш и др.);1198
1201;Центральная Азия (Тибет, страны бывш. советской Средней Азии);1198
1202;Дальний Восток (Монголия, Китай, Япония, Корея и др.);1198
1203;Серии / Циклы / Библиотеки / Собрания сочинений (Востоковедение и Африканистика);1198
1204;Разное (Востоковедение и Африканистика);1198
1205;Ближний Восток;1198
1206;Африканистика;1198
1207;Увлечения, Досуг, Хобби;26
1208;Домашние питомцы и аквариумистика (периодика);1207
1210;Энергетика / Электротехника;47
1211;Микроконтроллеры;746
1212;Справочники;746
1213;Общая информация о группе «Периодика»;1189
1214;Общение рабочей группы «Периодика»;1189
1215;Эзотерика, непознанное (периодика);1707
1216;Мир периодики (Новости, События, Комментарии);1173
1217;Разное (Публицистика);53
1219;Группы Интернет-общения, Конференции;4
1220;Общая информация о группах, конференциях;1219
1221;Skype-группа;1219
1222;Jabber-группа;1219
1223;ICQ-группа;1219
1224;Прочие группы интернет-общения;1219
1225;Клиенты (программы) для общения;1219
1228;Общая информация;35
1229;Общая информация;34
1230;Общая информация;50
1231;Поиск и предложения (Мультимедийные материалы);1230
1232;Списки с перечислением собственноручно отсканированных книг и журналов;762
1233;Труды отечественных и зарубежных исследователей. Библиографии. (Статьи, Материалы, Гипотезы, Факты);1138
1234;Социальная и политическая Антропология;1073
1235;Рабочие вопросы;1189
1237;Документоведение / Документационное управление организацией (ДОУ);43
1238;Популярная Этнография;747
1255;История периодических изданий;1173
1272;Детская художественная литература;55
1274;Общая информация;55
1275;Информация о разделе "Детям, родителям и педагогам";1274
1281;Детское фэнтези;1272
1283;Сказки;1272
1284;Детская фантастика;1272
1285;Детские приключения;1272
1286;Детские остросюжетные;1272
1287;Детская проза;1272
1288;Детские стихи;1272
1293;Энциклопедии, словари и справочники (Детям, родителям и педагогам);55
1294;Мастера книжной иллюстрации / Шедевры книжной иллюстрации-детям;1272
1295;Художественная литература для самых маленьких;1272
1296;Развивающая литература для самых маленьких;1321
1297;Биографии (Мир книг);874
1298;Детская научно-популярная литература;55
1299;Детям, родителям и педагогам (Другие языки);55
1300;Журналы и газеты для детей, родителей и педагогов;55
1301;Мультимедийные материалы для детей, родителей и педагогов;1330
1302;Журналы для детей;1300
1303;Газеты для детей;1300
1305;Детское творчество;1321
1306;РГ «Школа релизера»;46
1307;Общая информация о релиз-группе «Школа релизера»;1306
1308;Азы творчества (выбор, создание и оформление релизов);1306
1309;Помогите!!! (Проблемы и вопросы в создании, оформлении и раздаче релизов);1306
1310;Секреты мастерства (Делимся своими достижениями);1306
